_id,name,channel,link,date,viewCount
Seether - Broken ft. Amy Lee,Seether - Broken ft. Amy Lee,SeetherVEVO,https://www.youtube.com/watch?v=hPC2Fp7IT7o&authuser=1,2023-06-30T11:59:00.000Z,35
Calvin Harris - We'll Be Coming Back ft. Example,Calvin Harris - We'll Be Coming Back ft. Example,CalvinHarrisVEVO,https://www.youtube.com/watch?v=kPC_evpbwDM&authuser=1,2017-04-17T19:11:00.000Z,34
"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",LMFAOVEVO,https://www.youtube.com/watch?v=KQ6zr6kCPj8&authuser=1,2022-07-18T13:31:00.000Z,34
DIAMANTE - Bite Your Kiss,DIAMANTE - Bite Your Kiss,DIAMANTEOfficialVEVO,https://www.youtube.com/watch?v=bG61c7girsA&authuser=1,2020-07-13T18:27:00.000Z,32
Taylor Swift - …Ready For It?,Taylor Swift - …Ready For It?,TaylorSwiftVEVO,https://www.youtube.com/watch?v=wIft-t-MQuE&authuser=1,2023-11-24T16:48:00.000Z,31
Bring Me The Horizon - Throne,Bring Me The Horizon - Throne,BMTHOfficialVEVO,https://www.youtube.com/watch?v=Ow_qI_F2ZJI&authuser=1,2024-02-23T13:03:00.000Z,30
Taylor Swift - The Story Of Us,Taylor Swift - The Story Of Us,TaylorSwiftVEVO,https://www.youtube.com/watch?v=nN6VR92V70M&authuser=1,2023-11-24T16:36:00.000Z,30
Taylor Swift - 22,Taylor Swift - 22,TaylorSwiftVEVO,https://www.youtube.com/watch?v=AgFeZr5ptV8&authuser=1,2023-02-13T18:08:00.000Z,30
Three Days Grace - Never Too Late,Three Days Grace - Never Too Late,ThreeDaysGraceVEVO,https://www.youtube.com/watch?v=lL2ZwXj1tXM&authuser=1,2021-04-06T12:43:00.000Z,30
Evanescence - Sweet Sacrifice,Evanescence - Sweet Sacrifice,EvanescenceVEVO,https://www.youtube.com/watch?v=XBYhQnjyrWo&authuser=1,2022-12-29T21:29:00.000Z,30
Rise Against - Savior (Official Music Video),Rise Against - Savior (Official Music Video),RiseAgainstVEVO,https://www.youtube.com/watch?v=e8X3ACToii0&authuser=1,2024-01-13T17:48:00.000Z,30
Bowling For Soup - High School Never Ends (Official Music Video),Bowling For Soup - High School Never Ends (Official Music Video),BowlingForSoupVEVO,https://www.youtube.com/watch?v=jrxI_euTX4A&authuser=1,2023-11-29T20:01:00.000Z,30
The All-American Rejects - Dirty Little Secret (Official Music Video),The All-American Rejects - Dirty Little Secret (Official Music Video),AllAmericanRjctsVEVO,https://www.youtube.com/watch?v=gPDcwjJ8pLg&authuser=1,2023-11-27T16:28:00.000Z,29
Pale Waves - Jealousy (Official Video),Pale Waves - Jealousy (Official Video),PaleWavesVEVO,https://www.youtube.com/watch?v=bRQBaJ8wu6M&authuser=1,2024-02-20T10:47:00.000Z,28
The Letter Black - Fire With Fire,The Letter Black - Fire With Fire,TheLetterBlackVEVO,https://www.youtube.com/watch?v=M7lEbeejgOE&authuser=1,2023-05-15T14:28:00.000Z,28
Seether - Remedy,Seether - Remedy,SeetherVEVO,https://www.youtube.com/watch?v=FZLILV18ut8&authuser=1,2019-05-25T22:09:00.000Z,27
Icon For Hire - Make A Move,Icon For Hire - Make A Move,IconForHireVEVO,https://www.youtube.com/watch?v=e_S9VvJM1PI&authuser=1,2024-01-07T00:48:00.000Z,27
Avril Lavigne - How You Remind Me (Official Audio),Avril Lavigne - How You Remind Me (Official Audio),AvrilLavigneVEVO,https://www.youtube.com/watch?v=weeluzD_hxk&authuser=1,2023-04-08T23:01:00.000Z,27
Bring Me The Horizon - Teardrops (Official Video),Bring Me The Horizon - Teardrops (Official Video),BMTHOfficialVEVO,https://www.youtube.com/watch?v=L5uV3gmOH9g&authuser=1,2024-02-20T10:32:00.000Z,27
Tonight Alive - The Edge (Official Video),Tonight Alive - The Edge (Official Video),TonightAliveVEVO,https://www.youtube.com/watch?v=kRDVXnACx7Y&authuser=1,2023-11-27T16:32:00.000Z,26
blink-182 - Dammit,blink-182 - Dammit,blink182VEVO,https://www.youtube.com/watch?v=sT0g16_LQaQ&authuser=1,2023-11-29T19:36:00.000Z,26
Sick Puppies - You're Going Down (Official Video),Sick Puppies - You're Going Down (Official Video),SickPuppiesVEVO,https://www.youtube.com/watch?v=liW-kWFiXtQ&authuser=1,2023-01-23T16:53:00.000Z,26
blink-182 - Josie,blink-182 - Josie,blink182VEVO,https://www.youtube.com/watch?v=I6kfin-UeAQ&authuser=1,2023-12-06T14:40:00.000Z,25
Amaranthe - Digital World (Official Video),Amaranthe - Digital World (Official Video),AmarantheMusicVEVO,https://www.youtube.com/watch?v=z6PYAkXO-bU&authuser=1,2020-12-08T12:31:00.000Z,25
Calvin Harris & Alesso - Under Control (Official Video) ft. Hurts,Calvin Harris & Alesso - Under Control (Official Video) ft. Hurts,CalvinHarrisVEVO,https://www.youtube.com/watch?v=yZqmarGShxg&authuser=1,2017-10-14T15:11:00.000Z,25
Avicii - Wake Me Up (Official Video),Avicii - Wake Me Up (Official Video),AviciiOfficialVEVO,https://www.youtube.com/watch?v=IcrbM1l_BoI&authuser=1,2023-01-16T12:52:00.000Z,25
Rob Zombie - Living Dead Girl,Rob Zombie - Living Dead Girl,RobZombieVEVO,https://www.youtube.com/watch?v=BvsMPOfblfg&authuser=1,2023-11-09T16:48:00.000Z,24
Papa Roach - Scars (Official Music Video),Papa Roach - Scars (Official Music Video),PapaRoachVEVO,https://www.youtube.com/watch?v=eHbNU9WuVgw&authuser=1,2022-06-04T17:20:00.000Z,24
Limp Bizkit - Rollin' (Air Raid Vehicle),Limp Bizkit - Rollin' (Air Raid Vehicle),LimpBizkitVEVO,https://www.youtube.com/watch?v=RYnFIRc0k6E&authuser=1,2023-01-23T17:20:00.000Z,24
Avicii vs Nicky Romero - I Could Be The One (Nicktim),Avicii vs Nicky Romero - I Could Be The One (Nicktim),AviciiOfficialVEVO,https://www.youtube.com/watch?v=bek1y2uiQGA&authuser=1,2018-12-28T22:43:00.000Z,24
