_id,name,channel,link,date,image,viewCount
Avril Lavigne - Sk8er Boi (Official Video),Avril Lavigne - Sk8er Boi (Official Video),AvrilLavigneVEVO,https://www.youtube.com/watch?v=TIy3n2b7V9k&authuser=1,2024-01-28T20:18:00.000Z,https://i.ytimg.com/vi/TIy3n2b7V9k/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,35
Evanescence - Everybody’s Fool (Official HD Music Video),Evanescence - Everybody’s Fool (Official HD Music Video),EvanescenceVEVO,https://www.youtube.com/watch?v=jhC1pI76Rqo&authuser=1,2023-05-15T14:22:00.000Z,https://i.ytimg.com/vi/jhC1pI76Rqo/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,35
Calvin Harris - We'll Be Coming Back ft. Example,Calvin Harris - We'll Be Coming Back ft. Example,CalvinHarrisVEVO,https://www.youtube.com/watch?v=kPC_evpbwDM&authuser=1,2017-04-17T19:11:00.000Z,https://i.ytimg.com/vi/kPC_evpbwDM/mqdefault.jpg?at=AJOi4lGUCfEgjsg6eTomMEvwInjX%3A1710614429526,34
"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",LMFAOVEVO,https://www.youtube.com/watch?v=KQ6zr6kCPj8&authuser=1,2022-07-18T13:31:00.000Z,https://i.ytimg.com/vi/KQ6zr6kCPj8/mqdefault.jpg?at=AJOi4lEAZijToYL3729x7PL8I9rw%3A1710612978116,34
DIAMANTE - Bite Your Kiss,DIAMANTE - Bite Your Kiss,DIAMANTEOfficialVEVO,https://www.youtube.com/watch?v=bG61c7girsA&authuser=1,2020-07-13T18:27:00.000Z,https://i.ytimg.com/vi/bG61c7girsA/mqdefault.jpg?at=AJOi4lEnZ6y7xoqzd5fqjz8FKxRr%3A1710613553438,32
Taylor Swift - …Ready For It?,Taylor Swift - …Ready For It?,TaylorSwiftVEVO,https://www.youtube.com/watch?v=wIft-t-MQuE&authuser=1,2023-11-24T16:48:00.000Z,https://i.ytimg.com/vi/wIft-t-MQuE/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,31
Rise Against - Savior (Official Music Video),Rise Against - Savior (Official Music Video),RiseAgainstVEVO,https://www.youtube.com/watch?v=e8X3ACToii0&authuser=1,2024-01-13T17:48:00.000Z,https://i.ytimg.com/vi/e8X3ACToii0/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,30
Taylor Swift - 22,Taylor Swift - 22,TaylorSwiftVEVO,https://www.youtube.com/watch?v=AgFeZr5ptV8&authuser=1,2023-02-13T18:08:00.000Z,https://i.ytimg.com/vi/AgFeZr5ptV8/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,30
Evanescence - Sweet Sacrifice,Evanescence - Sweet Sacrifice,EvanescenceVEVO,https://www.youtube.com/watch?v=XBYhQnjyrWo&authuser=1,2022-12-29T21:29:00.000Z,https://i.ytimg.com/vi/XBYhQnjyrWo/mqdefault.jpg?at=AJOi4lEAZijToYL3729x7PL8I9rw%3A1710612978116,30
Bowling For Soup - High School Never Ends (Official Music Video),Bowling For Soup - High School Never Ends (Official Music Video),BowlingForSoupVEVO,https://www.youtube.com/watch?v=jrxI_euTX4A&authuser=1,2023-11-29T20:01:00.000Z,https://i.ytimg.com/vi/jrxI_euTX4A/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,30
